,,,,,,,,,,,,,
（林昀嫺老師）,,,,,,,,,,,,,
29 動物占有人責任 ,liability of animal possessor,動物占有人(侵權)責任,,,,,,,,,,,
30 動物保護法 ,animal protection act,動物保護法,,,,,,,,,,,
31 工作物設置或保管欠缺 ,defective construction or insufficient maintenance in building or work,工作物設置或保管欠缺,defective construction or insufficient maintenance in building or structure,工作物設置或保管欠缺,,,,,,,,,
32 國營事業 ,state business,國營事業,state-operated enterprise,國營企業,state/national enterprise,國營企業,,,,,,,
33 與有過失 ,contributing to negligence,有份造成過失(疏忽),contributory fault,分擔過失,contributory negligence,與有過失,,,,,,,
34 定作或指示過失 ,negligence in regard to the work ordered or the instructions,定作或指示過失,,,,,,,,,,,
35 法人侵權行為能力 ,tort liability of judicial/legal persons,法人侵權責任(能力),tort capability of judicial/legal persons,法人侵權行為能力,,,,,,,,,
36 動力車輛駕駛人 ,driver of motor vehicles which need not to be driven on tracks,動力車輛駕駛人,,,,,,,,,,,
37 危險製造人責任 ,liability of damage causer,危險製造人,,,,,,,,,,,
38 醫療行為 ,medical practice,醫療行為,,,,,,,,,,,
39 共同侵權行為人 ,joint tortfeasor,共同侵權行為人,,,,,,,,,,,
40 共同加害行為 ,,,,,,,,,,,,,
41 幫助人 ,accomplice,幫助人,,,,,,,,,,,
42 共同危險行為 ,,,,,,,,,,,,,
43 放天燈 ,,,,,,,,,,,,,
44 僱用人侵權責任 ,tort liability of employer,僱用人侵權責任,,,,,,,,,,,
45 僱用人之求償權 ,employer's right to reimbursement,僱用人之求償權,,,,,,,,,,,
46 連帶債務之免除 ,release of joint and several obligation,連帶債務之免除,release of joint (and several) debt,,,,,,,,,,
47 動力車輛駕駛人責任 ,liability of driver of motor vehicles which need not to be driven on tracks,動力車輛駕駛人責任,,,,,,,,,,,
48 受僱人執行職務 ,employee's performance of duty,受僱人職務執行,employee's execution of duty,受僱人職務執行,employee performs his/her duty,,,,,,,,
49 盜買賣股票 ,,,,,,,,,,,,,
50 執行職務範圍 ,terms of duty performance,執行職務範圍,within the scope of their duties,執行職務範圍內,,,,,,,,,
51 利用職務上機會 ,by exploiting such a position,利用職務上機會,abuse their power,利用職務上機會,take advantage of opportunities arising from job duties,利用職務上機會,,,,,,,
52 舉證責任 ,burden of proof,舉證責任,,,,,,,,,,,
53 商品輸入業者 ,importer of the merchandise,商品輸入業者,,,,,,,,,,,
54 通常使用 ,common use,通常使用,ordinary use,通常使用,,,,,,,,,
55 定作過失 ,negligence in the work ordered,,,,,,,,,,,,
56 指示過失 ,negligence in instructions,指示過失,negligence in directions,指示過失,,,,,,,,,
57 工作物 ,buildinf or work,工作物,work,工作物,,,,,,,,,
58 電源線 ,,,,,,,,,,,,,
59 建築物之成分 ,component parts of a building,建築物之成分,,,,,,,,,,,
60 設置欠缺 ,defective construction,設置欠缺,,,,,,,,,,,
61 保管欠缺 ,insufficient maintenance,保管欠缺,,,,,,,,,,,
62 工作物所有人 ,owner of the building or work,工作物的所有人,,,,,,,,,,,
63 一般危險責任 ,general strict liability,一般嚴格責任,general danger responsibility,一般危險責任,general risk liability,一般危險責任,,,,,,,
64 危險工作或活動 ,dangerous work or activities,危險工作或活動,hazardous work or activities,危險工作或活動,,,,,,,,,
65 事業經營人 ,business operator,事業人,entrepreneur/employer,事業者,,,,,,,,,
66 電力公司 ,,,,,,,,,,,,,
67 工作物設置欠缺 ,defective construction in building or work,工作物設置欠缺,,,,,,,,,,,
68 工作物保管欠缺 ,insufficient maintenance in building or work,工作物保管欠缺,,,,,,,,,,,
69 工作物瑕疵 ,defect in the work,工作物有瑕疵,defect of work,工作物瑕疵,,,,,,,,,
70 遊樂設施 ,,,,,,,,,,,,,
71 保護他人之法律 ,a statutory provision enacted for the protection of others,保護他人之法律,,,,,,,,,,,
72 相當因果關係 ,relative causality ,相當因果關係,relative causation,相當因果關係,,,,,,,,,
73 背於善良風俗之方法 ,in a manner against the rules of morals,以背於善良風俗之方法,,,,,,,,,,,
74 損害 ,damage,損害,detriment,損害,,,,,,,,,
75 個人法益 ,individual legal interest,個人法益,,,,,,,,,,,
76 建築技術規則 ,construction technical regulation,建築技術規則,building technical regulation,建築技術規則,,,,,,,,,
77 侵權行為 ,tort,侵權行為,tortious acts,侵權行為,,,,,,,,,
78 損害賠償 ,damage compensation,損害賠償,damages,損害賠償,indemnity for damages,損害賠償,,,,,,,
79 名譽權 ,(right to) reputation,名譽(權),personal reputation,名譽,fame,名譽,,,,,,,
80 過失 ,negligence,過失,,,,,,,,,,,
81 侵害 ,infringe(ment),侵害,damage,侵害,,,,,,,,,
82 指封 ,,,,,,,,,,,,,
83 錯誤 ,mistake,錯誤,wrongful,錯誤,,,,,,,,,
84 純經濟損失 ,pure economic loss,純經濟損失,,,,,,,,,,,
85 承攬 ,hire of work,承攬,contract for work,承攬,subcontract,承攬,,,,,,,
86 推定過失 ,presumed negligence,推定過失,,,,,http://www.i-taiwan.nat.gov.tw/bilingual/bl_showworddetails.asp?WT=1&Query=%B1%C0%A9w%B9L%A5%A2,,,,,,
87 道路交通安全規則 ,road traffic safety rules,道路交通安全規則(法規資料庫),,,,,,,,,,,
88 勞動能力 ,laboring capacity,勞動能力(法規資料庫),ability to work,勞動能力,labor ability,勞動能力,,,,,,,
89 權利 ,right ,權利,,,,,,,,,,,
90 防衛 ,defense,防衛,defend,防衛,,,,,,,,,
91 阻卻違法 ,justifiable(cause),有理由支持的、合法的(阻卻違法事由),justify,具有正當理由,,,,,,,,,
92 利益 ,interest,利益,profit/gain,利益,,,,,,,,,
93 違法性 ,illegality,違法性,unlawful/illegal,違法,,,,,,,,,
94 自由 ,freedom,自由,,,,,,,,,,,
95 勞工保險 ,labor insurance,勞工保險,,,,,,,,,,,
96 精神分裂病 ,,,,,,,,,,,,,
97 誘發 ,,,,,,,,,,,,,
98 肖像權 ,right of publicity,肖像權,portrait,肖像(權),,,,,,,,,
99 人格權 ,moral right,人格權,personality,人格權(法規資料庫),,,,,,,,,
100 言論自由,freedom of speech,言論自由,,,,,,,,,,,
（蔡穎芳老師）,,,,,,,,,,,,,
1 物調款 ,price adjustment clause,物價調整條款,,,,,,,,,,,
2 情事變更 ,changes of circumstances,境遇改變,a change in situation,處境改變,a change in circumstances,境遇改變,,,,,,,
3 營造工程物價總指數 ,general index of construction cost,營造工程物價總指數,construction cost indices,營造工程物價指數,,,,,,,,,
4 砂石風波 ,sandstone disturbances,砂石風波,,,,,,,,,,,
5 砂石物價指數 ,price index of sand and gravel,砂石物價指數,,,,,,,,,,,
6 砂石補償方案 ,a cost reimbursement contract of sand and gravel,砂石成本補償契約,a cost-plus contract of sand and gravel,砂石成本追加契約,,,,,,,,,
7 基樁計價 ,the cost of piled foundations,基椿計價,,,,,,,,,,,
8 實作實算 ,to pay for each completed unit of work,依完成的工作單元計價付費,,,,,,,,,,,
9 危險負擔 ,risk bearing ,風險負擔,assumption of risk,危險負擔,,,,,,,,,
10 921地震 ,921 earthquake,921地震,,,,,,,,,,,
11 遲延驗收 ,late inspection and acceptance,遲延驗收,late examination and acceptance,遲延驗收,,,,,,,,,
12 瑕疵修補責任 ,duty to cure the defect,瑕疵修補責任,duty to remedy defect,瑕疵修補責任,,,,,,,,,
13 合約終止 ,the termination of the contract,合約終止,to end the contract,終止契約,,,,,,,,,
14 逾期違約金 ,default penalties for late payment,逾期給付之違約金,overdue penalties,逾期違約金,overdue fines,逾期違約金,,,,,,,
15 分包契約 ,subcontract,分包契約,,,,,,,,,,,
16 估驗款 ,payment estimate,估驗款,Estimate To Complete (ETC),估驗款,the estimated cost required to complete the remainder of the project,估驗款,,,,,,,
17 停止條件 ,a suspensful condition,停止條件,a condition precedent,停止條件,,,,,,,,,
18 清償期 ,expected date of repayment,期待清償之日期,the maturity of the debt,清償期屆滿,deadline for the performance,清償期,the debts are not yet due,未屆清償期之債權,maturity of the claim,債權已屆清償期,a debt has not yet matured,,債務未屆清償期
19 追加工程款 ,supplementary cost for the project,追加工程款,supplementary provision,追加備付款項,,,,,,,,,
20 一式計價 ,lump sum ,為完成契約中某一工作項目，所需之一切工、料及附屬設施全部費用均算在內的計費方式,flat fee,一式計價,,,,,,,,,
21 展延工期 ,extention of time,展延工期,time extention,展延工期,,,,,,,,,
22 不完全給付 ,to perform the obligation incompletely,不完全給付,the incomplete performance,不完全給付,,,,,,,,,
23 不當得利 ,unjust enrichment,不當得利,to acquire undue profit,不當得利,,,,,,,,,
24 保留款 ,retention money,保留款,reservation clause,保留條款,,,,,,,,,
25 消滅時效 ,the extinctive prescription,消滅時效,negatvie prescription,消滅時效,the extinguishment limitation of the claim,請求權的消滅時效,,,,,,,
26 隧道開挖計價線 ,the pay line of tunnel excavation,隧道開挖計價線,,,,,,,,,,,
27 物價指數 ,the price index,物價指數,,,,,,,,,,,
28 崩塌責任 ,the responsibility for the collapse,崩塌責任,,,,,,,,,,,
29 搶修款 ,urgent repair fee,搶修費用,urgent repair costs,搶修成本支出,,,,,,,,,
30 瑕疵完工驗收 ,the correction of defects and acceptance tests,瑕疵完工驗收,,,,,,,,,,,
31 保固 ,warranty,保固,guarantee bond,保固保證,maintenance bond,保固保證,,,,,,,
32 轉包 ,subcontract,轉包契約,sublet,轉包,,,,,,,,,
33 工程估驗款 ,payment for assessment works,工程估驗款,,,,,,,,,,,
34 交屋 ,property settlement,財產讓渡,closing on a home ,"房屋買賣契約終結,交屋",possession date,交收日期,escrow,"履約保證, 須待條件完成後始能生效的情況",,,,,
35 計價方式 ,pricing methods,計價方式,valuation methods,估價方式,,,,,,,,,
36 逾期 ,overdue,逾期,expiration of the time limit,逾期,missing the deadline,逾期,,,,,,,
37 跳島式施工 ?,island method of construction,島型施工法,,,,,,,,,,,
38 土方計算 ,earthwork calculations,土方計算,cut and fill estimation,土方估計,cut and fill calculations,土方計算,,,,,,,
39 一部清償 ,to perform in part,一部清償,to make partial performance,一部清償,,,,,,,,,
40 變更設計 ,to modify design,變更設計,to change the design,變更設計,,,,,,,,,
41 要徑作業 ,critical path activity,工程管理者找出耗時最久的一系列作業項目，以此路徑作為控制工作之要點，來進行工程管理與控制,,,,,,,,,,,
42 遲延遷移 ,transport delay,遷移遲延,,,,,,,,,,,
43 終止 ,to terminate,終止,,,,,,,,,,,
44 停工補償 ,work-stoppage subsidy,停工補償,allowance for work stoppage,停工津貼,,,,,,,,,
45 假設性工程計價 ,contingent project-costs estimation,假設性工程計價,,,,,,,,,,,
46 風險分配 ,risk allocation,風險分配,risk distribution, 風險分配,,,,,,,,,
47 推管工程 ,jacking method,頂管工法,pipejacking construction method,推管建築工法,,,,,,,,,
48 道路拓寬 ,road widening,道路拓寬,to broaden the street,街道拓寬,,,,,,,,,
49 數量差異 ,quantity difference,數量差異,quantity variance,數量差異,quantity discrepancy,數量差異,volume variance,,量的差異,,,,
50 土方料源 ,sources of sand and gravel,土方來源,material sources of earthwork,土方料源,,,,,,,,,
51 定型化契約 ,standard contracts,定型化契約,,,,,,,,,,,
52 總價契約 ,fixed price contract,固定總價契約,lump-sum contract,總價契約,,,,,,,,,
53 實作實算契約 ,unit price contract,實作實算契約　,,,,,,,,,,,
54 使用執照請領 ,to apply for a usage license,使用執照請領,,,,,,,,,,,
55 試車 ,test ride,試乘,,,,,,,,,,,
56 逾期罰款 ,overdue penalty,逾期罰款,overdue fine,逾期罰款,,,,,,,,,
57 估驗計價 ,valuation and estimation,估驗計價,,,,,,,,,,,
58 剩餘土方 ,surplus sand and gravel,剩餘土方,surplus earth and gravel,剩餘土方,surplus soil,剩餘土方,,,,,,,
59 棄土證明 ,a waste disposal certificate of approval,廢棄物處理許可證明,a certificate of approval for waste soil,棄土證明,,,,,,,,,
60 總價結算契約 ,lump-sum contracts,總價契約,fixed-price contracts,固定價格契約,,,,,,,,,
61 契約變更 ,the alternation of the contract,契約變更,to modify the contract,變更契約,the amendment to the contract,變更契約,,,,,,,
62 遲延履約 ,default in performance of contract,遲延履約,a delay in performance of a contract,遲延履約,,,,,,,,,
63 終止契約 ,to terminate the contract,終止契約,to end the contract,終止契約,,,,,,,,,
64 工程瑕疵 ,construction defects,工程瑕疵,construction flaws,工程瑕疵,,,,,,,,,
65 停工 ,a suspension of work,勒令停工，暫停工作,to stop working,停工,shut down ,停工,,,,,,,
66 重新發包 ,reopen to bid,重新發包,to reopen the bidding process,重新發包,,,,,,,,,
67 次承攬 ,subcontract,次承攬契約,,,,,,,,,,,
68 違約金酌減 ,to reduce the penalties,違約金酌減,,,,,,,,,,,
69 復工協議 ,back to work agreement,復工協議,,,,,,,,,,,
70 履約保證金 ,performance bond,履約保證金,,,,,,,,,,,
71 監督付款 ,supervision of customer payments,監督顧客付款,supervision of client payments,監督客戶付款,,,,,,,,,
72 設計錯誤 ,design errors,設計錯誤,,,,,,,,,,,
73 責任風險 ,responsibility risk,責任風險,,,,,,,,,,,
74 法令變更 ,change of law,法律變更,change of decree,法令變更,legal change,法律變更,,,,,,,
75 驗收加款 ,additional expense of inspection and acceptance,驗收加款,,,,,,,,,,,
76 標單(單價分析表) ,list of award,決標單,tender documents(cost breakdown form),標單(單價分析表),bill of quantity forms,,詳細價目表(標單),,,,,,
77 圖說 ,illustrated charts with explanatory notes,圖說,explanatory diagrams,圖說,explanatory notes,圖說,,,,,,,
78 總價承包契約 ,lump-sum contracts,總價承包契約,fixed-price contracts,固定價格契約,,,,,,,,,
79 總價決標 ,lump-sum award,總價決標,,,,,,,,,,,
80 單價分析表 ,cost breakdown form,單價分析表,,,,,,,,,,,
81 結算總價 ,clearing price,結算價,contract cost clearing,契約價結算,,,,,,,,,
82 契約總價 ,total price of the contract,契約總價,total vaule of contract,契約總價值,,,,,,,,,
83 受領遲延 ,to delay accepting the work,受領遲延,to delay taking delivery of goods,對運送物受領遲延,,,,,,,,,
84 減價收受 ,inspection and acceptance via price reduction,減價收受,reception via price deduction,減價收受,,,,,,,,,
85 質權消滅 ,extinguishment of pledge,質權消滅,,,,,,,,,,,
86 砂石級配 ,soil gradation,砂石級配,,,,,,,,,,,
87 統一土壤分類法 ,unified soil classification system,統一土壤分類法,,,,,,,,,,,
88 營建剩餘土石方 ,construction surplus sand and gravel,營建剩餘土石方,construction produced soil,營建剩餘土石方,construction surplus earth and gravel,營建剩餘土石方,,,,,,,
89 待工費用 ,waiting fee,待時費,waiting cost,等待費用,,,,,,,,,
90 隧道出渣計價方式 ,charge method of mucking and removing ,出渣計價方式,charge method of spoil discharging during tunnel construction,隧道出渣計價方式,charge methods of tunnel-spoil handling and disposal,隧道出渣計價方式,,,,,,,
91 工程保留款 ,construction retainage,工程保留款,,,,,,,,,,,
92 漏項 ,missing items,漏項,,,,,,,,,,,
93 自主品管制度 ,autonomous quality control,自主品管,autonomous quality assurance,自主品質保證,,,,,,,,,
94 變更設計追加 ,the additional cost of design change,變更設計的追加經費成本,,,,,,,,,,,
95 承認報酬請求權 ,to acknowledge the rights of claiming a reward,承認報酬請求權,to acknowledge the reward request,承認報酬請求,,,,,,,,,
96 中斷時效 ,to interrupt the prescription,中斷時效,to interrupt ,中斷(請求權)時效,to interrupt the limited period for claiming payment,中斷時效,,,,,,,
97 工期認定 ,to confirm the period of the project,工期認定,,,,,,,,,,,
98 暫緩清償 ,to postpone the payment date,延後付款,to delay payemnt,延後付款,deferred payment,延期清償,,,,,,,
99 瑕疵 ,flaw,瑕疵,fault,"缺點,毛病",defect,瑕疵,,,,,,,
100 完工 ,to complete a project,完工,to finish works,完工,to finish the construction,完工,,,,,,,
101 驗收 ,inspection and acceptance,驗收,to inspect and examine,檢驗,inspection,驗收,,,,,,,
102 工程保固 ,project warranty ,工程保固,,,,,,,,,,,
103 水災受損 ,flood damage,水災損害,water damage,水災損害,,,,,,,,,
104 解除契約 ,rescind the contract,解除契約,to cancel a contract,解除契約,to dissolve a contract,解消契約,,,,,,,
105 瑕疵修補 ,the repair of a defect,瑕疵修補,to remedy defects,修補瑕疵,defect repair,瑕疵修補,,,,,,,
106 工程變更 ,changing of work,工作改變,change in the work,工作改變,engineering change,工程變更,,,,,,,
107 契約範圍 ,the scope of a contract,契約範圍,,,,,,,,,,,
108 設計圖樣 ,design patterns,設計圖樣,,,,,,,,,,,
109 時效 ,prescription,時效,limitation,時效,limited duration,有限的一段時間,,,,,,,
110 抵銷權行使 ,to exercise rights of set-off,行使抵銷權,,,,,,,,,,,
111 契約解除 ,the rescission of the contract,契約解除,the rescission of the agreement,解除協議,,,,,,,,,
112 保固金 ,deposit,保固押金,,,,,,,,,,,
113 損害賠償 ,damages,損害賠償,injury,損害賠償,,,,,,,,,
114 遲延給付 ,late performance,遲延給付,overdue performance,遲延給付,delay in performance,遲延給付,,,,,,,
115 工作物瑕疵 ,defects of the work piece,工作物瑕疵,flaws of the working substance ,工作物瑕疵,,,,,,,,,
116 重大變更 ,major alternation,重大變更,a sufficient change,重大變更,significant change,重大變更,,,,,,,
117 契約同一性 ,the identical characteristics of the contract terms,契約同一性,,,,,,,,,,,
118 變更施工法 ,to change the construction method,變更施工法,to modify the method of construction,變更施工法,to alter the construction method,變更施工法,,,,,,,
119 先行使用 ,to use prior to ,先行使用,to use without the permission,在未經允許情形下使用,,,,,,,,,
120 追加工程 ,additional works,追加工程款,,,,,,,,,,,
121 替代施工費用 ,the cost of alternative work,替代施工費用,the expense of alternative work,替代施工費用,,,,,,,,,
122 施工錯誤 ,construction mistakes,施工錯誤,construction errors,施工錯誤,,,,,,,,,
123 送電證明 ,power connection certificate,送電證明,,,,,,,,,,,
124 請求權時效 ,the limited period for claiming payment,請求權時效,,,,,,,,,,,
125 保固期 ,warranted period,保固期,warranty period,保固期,,,,,,,,,
126 尾款 ,balance payment,尾款,remaining payment,尾款,outstanding payment,尾款,final payment,最終付尾款,,,,,
127 瑕疵擔保 ,warranty of defects,瑕疵擔保,the liabilities of warranty,瑕疵擔保,the liability on account of defects,瑕疵擔保,,,,,,,
128 保管責任 ,duty of safekeeping,保管責任,safekeeping responsibility,保管責任,the duty to safekeep,保管責任,,,,,,,
129 變更 ,to change,變更,to modify,變更,to alter,變更,,,,,,,
130 工地物料所有權 ,ownership of materials at construction working/stock site,工地物料所有權,ownership of material at the working location,工地物料所有權,,,,,,,,,
131 日報表 ,daily report,日報表,daily statement,日報表,daily sheet,日報表,,,,,,,
132 工程進度 ,works schedule,工程進度,works programme,工程進度,job  progress,工程進度,progress of works,工程進度,project progress,工程進度,,,
133 自行修補 ,self repair,自行修補,self restoration,自行修復,,,,,,,,,
134 承攬與委任混合契約 ,hybrid contract of mandate and hire of work,委任與承攬混合契約,the mixed contract of mandate and hire of work,委任與承攬混合契妁,,,,,,,,,
135 分包 ,subcontract,"分包, 轉包",to sublet,分包,,,,,,,,,
136 日曆天 ,calendar day,日曆天,,,,,,,,,,,
137 開工日期 ,starting date of a project,開工日期,date of commence,開工日期,,,,,,,,,
138 建照核發 ,to issue the construction licence,核發建照,the issue of the construction license,建照核發,,,,,,,,,
139 給付條件 ,the claiming criteria,給付條件,criteria for granting allowances,給付條件,entitled to apply for benefits,符合給付條件,,,,,,,
140 工程補助款核撥 ,the allocation of works subsidy,工程補助款核撥,an appropriation of project subsidy,工程補助款核撥,,,,,,,,,
141 工程管理費 ,management fees,工程管理費,project management costs,工程管理費,the expense of management,工程管理費,,,,,,,
142 契約性質 ,the nature of the contract,契約性質,,,,,,,,,,,
143 工作物供給契約 ,supply agreement of work piece,工作物供給契約,supply agreement of working substance,工作物供給契約,,,,,,,,,
144 統包契約 ,turn-key contract,統包契約,,,,,,,,,,,
145 總價承包 ,lump-sum undertaking,總價承包,fixed-price undertaking,總價承包,,,,,,,,,
146 拒絕驗收 ,refuse to inspect and accept,拒絕驗收,refuse to examine and accept,拒絕驗收,,,,,,,,,
147 承認 ,to accept,承認,to recognize,承認,to acknowledge,承認,to approve,表示同意,,,,,
148 臺灣省營造工程物價指數（總指數） ,construction cost indices of Taiwan Province,台灣省營造工程物價指數,,,,,,,,,,,
149 默示承認 ,to recognize impliedly,默示承認,to acknowledge impliedly,默示承認,to accept impliedly,默示承認,to approve impliedly,默示承認,,,,,
150 承攬與買賣混合契約 ,mixed contract of trading and hire of work,承攬與買賣混合契約,hybrid contract of trading and hire of work,承攬與買賣混合契約,,,,,,,,,
151 連帶保證人履約 ,contract performance of joint guarantors,連帶保證人履約,,,,,,,,,,,
152 契約終止 ,the termination of the contract,契約終止,to end the contract,終止契約,,,,,,,,,
153 連帶保證人責任 ,the responsibility of joint guarantors,連帶保證人責任,the duty of joint guarantors,連帶保證人責任,,,,,,,,,
154 工期變更 ,to change the period of construction,工期變更,to modify the period of construction,工期變更,,,,,,,,,
155 逾期天數認定 ,to determine the days delayed for performance,逾期履約天數認定,to identify the days delayed,逾期天數認定,,,,,,,,,
156 工作天 ,working days,工作天,workday,工作天,business day,工作天,,,,,,,
157 給付遲延 ,delay in performance,給付遲延,late perfornance,遲延給付,overdue performance,遲延給付,,,,,,,
158 執行假扣押 ,apply to the court for a provisional seizure of property,聲請法院執行假扣押,the execution of provisional seizure,假扣押之執行,the execution of provisional attachment,假扣押之執行,,,,,,,
159 損鄰問題 ,construction damage of neighborhood,工程損鄰問題,neighbour disputes over construction damage,工程損鄰爭議,,,,,,,,,
160 完工認定 ,to determine the completion of a construction contract,完工認定,to determine the completion of a project,完工認定,,,,,,,,,
161 約定不辦理物調 ,price fixing agreement,以固定假格達成協議，不辦理物價調整,agreed not to adjust prices,約定不辦理物調,,,,,,,,,
162 變更驗收方式 ,to change the ways of inspection and acceptance,變更驗收方式,to change the methods of inspection and acceptance,改變驗收方式,,,,,,,,,
163 圖說不一致 ,inconsistency of explanatory diagrams,圖說不一致,inconsistency of explanatory notes,圖說不一致,inconsistency of explanatory charts,圖說不一致,,,,,,,
164 基礎日(Base Date) ,base date,基礎日,reference day,基準日,baseline dates,基線日期,,,,,,,
165 假設工程 ,temporary work,假設工程(建築物正式興建以前，在建地上的準備工作),falsework,假設工程，鷹架,,,,,,,,,
166 無權占有 ,to possess something without authority,無權占有,,,,,,,,,,,
167 主承攬 ,the main contract of hire of work,主承攬契約,the prime contract of hire of work,主承攬契約,the prime contractor,主承攬人,,,,,,,
168 試運轉 ,test run,試運轉,commissioning,試運轉,trial operation,試運轉,,,,,,,
169 第三人利益契約 ,third party beneficiaries,第三人利益契約,contracts for the benefit of the third party,第三人利益契約,third-party beneficiary contract,第三人利益契約,,,,,,,
170 債務承擔 ,to assume the debt,承擔債務,to assume liabilities,承擔債務,to assume the obligation of the debtor,承擔債務人之債務,,,,,,,
171 債權讓與 ,the assignment of creditors' rights,債權讓與之通知,the assignment of the claim,債權讓與之通知,to transfer a claim of an obligation,債權讓與之通知,,,,,,,
172 時效、驗收 ,"presceiption, inspection and acceptance",時效，驗收,the limited period， examination and acceptance,時效，驗收,"the limited duration, inspection",時效，驗收,,,,,,,
173 條件 ,the terms and conditions,條件,conditions,條件,,,,,,,,,
174 工程款請求權 ,the claims for construction cost,工程款請求權,the right to claim for construction cost,工程款請求權,the right to claim for project funds,工程款請求權,,,,,,,
175 業主協力義務 ,owner's duty of cooperation,業主協力義務,owner's obligation to give assistance,業主協力義務,,,,,,,,,
176 契約終止權 ,right to terminate a contract,契約終止權,right to end a contract,契約終止權,,,,,,,,,
177 意定終止 ,to terminate by the manifestation of intention,以意思表示終止,,,,,,,,,,,
178 法定終止 ,statutory termination ,法定終止,to end in terms of statutory requirements,法定終止,,,,,,,,,
179 契約解除權 ,the right to rescind the contract,契約解除權,the right to rescind the agreement,契約解除權,,,,,,,,,
180 進場施工配合條件 ,teamwork conditions before starting construction,進場施工配合條件,cooperative conditions prior to starting construction,進場施工配合條件,,,,,,,,,
181 分期估驗 ,estimation on a stage-by-stage basis,分期估驗,to set different dates for estimation,分期估驗,estimation carried out by stages,分期估驗,,,,,,,
182 一式展延費用 ,lump-sum extention cost,一式展延費用,flat extention fee,一式展延費用,,,,,,,,,
183 實支法 ,cash receipts and disbursement approach,實支單據法,cash receipts and disbursements method ,實支單據法,,,,,,,,,
184 末期估驗款 ,Estimate At Completion (EAC),末期估驗款,the estimated cost of the project at the end of the project,末期估驗款,,,,,,,,,
185 工程估價單 ,construction quotation,工程估價單,quotation for construction,工程估價單,,,,,,,,,
186 設計圖說(圖說)效力 ,the effect of explanatory design diagrams,設計圖說效力,the effect of explanatory design notes,設計圖說效力,the effect of explanatory design charts,設計圖說效力,,,,,,,
187 標單(工程估價單)效力 ,the effect of tender documents,標單效力,the effect of cost breakdown form,單價分析表（標單）效力,the effect of the bill of quantity forms,單價分析表(標單)效力,,,,,,,
188 總價結算 ,to reckon up the total cost,總價結算,to count the total price,總價結算,to calculate the total price,總價結算,,,,,,,
189 工期展延管理費用 ,management fees for the extention of construction project,工期展延管理費用,prolongation cost,展延時間成本,,,,,,,,,
190 單價分析表效力 ,the effect of cost breakdown form,單價分析表效力,,,,,,,,,,,
191 詳細價目表 ,bill of quantity forms,詳細價目表,,,,,,,,,,,
192 單價決標 ,awarding by unit price,單價決標,,,,,,,,,,,
193 以成本外加報酬計價 ,cost-plus-fee pricing,成本報酬式計價,,,,,,,,,,,
194 統包式計價 ,turn-key pricing,統包式計價,,,,,,,,,,,
